,Job Title,Job Description,Salary_min,Salary_max,Salary_mean,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
63,Staff Data Scientist,"About Shift:
We believe car buying should be fun, fair, and accessible to everyone. We've set out to transform an industry, using technology to bring transparency and convenience to the car buying process.
And we aren't stopping there. We seek to bring that same openness and simplicity to car ownership too, with payments, maintenance, and insurance in one easy app. At Shift, we're building the tools that empower people to buy, own, and sell the cars that make life go.
About the role:

Data Scientists at Shift build things that matter and have a material impact to the company's bottom line and the customer's experience. In this role, you will drive exciting, meaningful projects, and help define our technical and product strategy, you will have an opportunity to innovate. We move fast, have fun, and help each other out.

We're looking for an experienced Sr. Data Scientist to help us build the world's best e-commerce and operations platform to drive car sales and acquisitions. As a senior technical leader, you are critical to our business and technical prowess. You will work directly with technical management at the company and raise the bar for Data Science and Machine Learning. You lead by example and foster a culture of technical excellence, humility and lifelong learning.

This is an opportunity to join a fantastic team at a hi-tech fast-paced Silicon Valley company which is transforming an entire industry. You will report to the Director of Data Science. We'd love to talk to you about what great things you'll do here.

What you'll do:
Be a key contributor to Shift's tech stack and technical processes, working with engineers throughout the organization, partnering with Data Science and TechOps.
Demonstrate best practices by delivering high quality results to business.
Provide technical leadership for data scientists with supportive but candid feedback in code reviews and architecture documents.
Participate in build v buy decisions.
Participate in technical design, project planning and lead development of critical projects.
What we ask for:
Passion for data, technology and people.
PhD or Masters in Computer Science, Mathematics, Neuroscience, Computational Biology, Econometrics.
Practical data science experience with a deep technical background in supervised and unsupervised machine learning methods.
Strong communicator - able to advocate data informed decision-making at all levels using visuals and narrative documents.
Strong analytical capabilities to translate business problems into data science problems and implemented solutions.
Experience with big data technologies such as Spark, AWS Athena, Redshift, Sisense, Looker, Tableau or others.
Experience with deploying to AWS SageMaker.
Mentored junior data scientists, led projects to the finishing line.
Strong experience in SQL and programming in Python or R.
Strong mathematical background or computer science.
Advanced ability to perform exploratory data analysis
Expert in Statistical Studies
Nice to have:
Databrick experience
Redshift experience
Experience with monitoring and instrumentation tech and vendors such as Segment, New Relic, Datadog, Pingdom and PagerDuty.
Who We Are

At Shift, we're all about growth - which means people who are eager to grow, who are ready to roll up their sleeves and learn new things. We were founded by a scrappy group of visionaries who were by no means ""car experts"" - so we don't expect you to be one, either!

We'll take the open-minded go-getter over the pure subject matter expert any day. In that spirit, we also care about building a diverse and inclusive workplace and company. To put it simply, cars are meant for everyone, so we believe our company should be, too. We never discriminate against any candidate on the basis of gender, sexual orientation, gender identity, age, race, ethnicity, religion, color, national origin, marital status, veteran status or disability status. We welcome and encourage people of all backgrounds and walks of life to apply, even if you're unsure if you meet all the requirements. (Even if this particular role isn't the right fit, chances are we will have the right one soon!)

Why Join Now?

Having gone public in October 2020, we are at the beginning of our journey and hope you join us for the ride! Shift is a leading end-to-end auto e-commerce platform transforming the used car industry with a technology-driven, hassle-free customer experience. Shift's mission is to make buying or selling a used car fun, fair, and accessible to everyone. We provide comprehensive, digital solutions throughout the car ownership lifecycle: finding the right car, having a test drive brought to you before buying the car, a seamless digitally-driven purchase transaction including financing and vehicle protection products, an efficient, digital trade-in/sale transaction, and a vision to provide high-value support services during car ownership.

Website | Facebook | Instagram | Twitter | LinkedIn | About Shift (Team)

Shift is an Equal Employment Opportunity Employer

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.To apply to this job, click Easy ApplyShow More  ",-1,-1,-1,3.4,"Shift
3.4",California,1001 to 5000 Employees,2014,Company - Private,Internet,Information Technology,-1
64,Data Scientist,":::Please refer to submission instructions at the bottom of the job description::: __**About the organization: The Patrick J. McGovern Foundation is a private foundation dedicated to advancing artificial intelligence and data science solutions to create a thriving, equitable, and sustainable future for all. PJMF works in partnership with academic institutions, non-profits, start-ups, and incubators in neuroscience, digital health, climate change, vulnerable populations and digital dignity, and has dedicated funding in the last year to address the COVID-19 pandemic. For more information, please visit our website at https://www.mcgovern.org/.Core to PJMF’s mission are inclusion, diversity, equity, and access. We apply the IDEA framework to all we do, from growing a diverse team within the Foundation, to coalition building with organizations and people around the world, to promoting trust-based philanthropic relationships, and democratizing the development and rewards of AI and data.About the role: The Data Scientist must be someone who deeply cares about data for good and loves technology as it will be your mission to help create digital solutions with non-profit grant partners that drive social impact around the world. A visionary, entrepreneurial, and innovative team contributor, you will add geospatial data science and general ML/AI expertise to the Direct Data & AI Services team as we provide support and capacity building to the Data & Society grant partners, responding to the expressed need of our partners to strengthen and inform their advanced data analysis and ML models. As the Data Scientist, you will also contribute to the design and implementation of solutions with PJMF grant partners working with location based data, such as satellite imagery and remote sensing data. The position will report directly to the Director of Direct Data & AI Services.We anticipate having a physical office presence in San Francisco, CA and Boston, MA down the road. We are operating remotely right now and are open to remote candidates!Things you’ll do in your first year:Leverage your creativity and problem solving skills to tackle our grant partners’ most pressing issues using an analytical lens, meeting grant partner needs and communicating your work to PJMF leadershipProvide advisory/consulting services to grant partners, to include initial project design and scoping, model selection, and code debuggingSupport grant selection process, to include evaluating proposals and interviewing teams for technical scope/fitPartner with grant partners to design new interfaces to deliver faster, more impactful insights at the micro and macro levelsWork internally with across the Data & Society team to build innovative algorithms and products to best meet our most common grant partner needsContribute to a growing community of data and AI for good organizations and professionals, representing PJMF as a thought leader for data science within the philanthropic sectorKey Attributes:Expertise in machine learning approaches and applied AI with experience in geospatial analyticsAbility to translate user requirements and research questions into data science solutions and ideasClean, efficient coding abilities, in Python and/or R, ideally with experience parallel processing and using cloud computing resourcesPatience and empathy while providing high quality advisory services to clients and partnersDeep understanding of and experience working with different types of geospatial data, including different types of imagery, timeseries, and topological dataPractical experience with different open source GIS software, systems, and libraries (QGIS, GeoNode, GDAL/OGR)Detailed and thoughtful writing skills for documentation and knowledge captureSelf-management skills and ability to work as part of an nimble and fast-moving teamCreative, naturally curious, and willing to take intellectual risksStrong multitasking and parallel development abilitiesBenefits:We anticipate the starting salary for this role to be $100,000 with flexibility based on the experience you bringComprehensive benefits package including Foundation-paid medical, dental, and vision insurance for you and your dependents; flexible spending accounts; disability and life insurance; and a retirement plan that offers a 1:1 match up to 6% of your annual payUp to 6 months of gender-neutral paid leave for parents and caregivers when they have a new addition to their familiesWe want you to know: The attributes listed above represent our current thinking for the role. You can be a great candidate even if you don't fit everything we've described below. You can also have important skills we haven't thought of. If that's you - even if you’re on the fence - we encourage you to apply and tell us about yourself!We have built an environment that celebrates the differences in backgrounds and experiences. PJMF invests in activities that lead to greater inclusion, diversity, equity, and accessibility in how AI and data are conceptualized, developed, applied, and deployed. We are applying the same framework as our team grows and expands. We are an equal opportunity employer and we especially encourage and invite members of traditionally underrepresented communities to apply.For more information and/or to submit an application, please visit:https://jobs.lever.co/mcgovern/1287cc93-e942-4079-bd47-3e5fa30f55f3?lever-origin=applied&lever-source%5B%5D=IndeedJob Type: Full-timePay: $100,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceEmployee assistance programFlexible scheduleFlexible spending accountHealth insuranceHealth savings accountLife insurancePaid time offParental leaveRetirement planVision insuranceSchedule:8 hour shiftMonday to FridayWork Location: RemoteShow More  ",$100K ,$100K,-1,-1,Patrick J McGovern Foundation,Remote,-1,-1,-1,-1,-1,-1
65,Data Scientist,"Data Scientists - Positions located in New York and/or CaliforniaApplicants Who Live And Are Authorised To Work In The USA OnlyTo apply for this job follow this link to upload your latest CV: https://us.flipped.ai/tested/placementloginPlease note this position is not with Flipped.ai, but with one of our clients.We are looking for top-quality graduate Data Scientists. If you are interested and have the majority of the relevant experiences/skills below, please apply.Qualifications:2-3 or more years professional data science experience.Bachelor’s or higher degree in Mathematics / Statistics / Data Science / Computer related discipline.Core Skills: TechnologiesStrong background using statistical and data mining techniques: regression, social network analysis etc.Experience independently implementing statistical algorithms from scratch.Proficiency in Python.Proficiency in additional languages such as R, Java, etc is a plus.Machine Learning and associate libraries such as Pandas, Numpy, Pytorch Keras, TensorFlow.Ability to store and process unstructured data and machine learning models.Proficient using data frameworks such as Hadoop, Hive, Spark etc.Strong database design and coding skills.Personal AttributesSuperb analytical and problem-solving skills.Clear, concise, and engaging communications skills.Flexibility to adapt to new challenges and the resilience to overcome short-term hurdles.Job Type: Full-timeSalary: $100,000.00 - $218,163.00 per yearSchedule:10 hour shift8 hour shiftAbility to commute/relocate:New York, NY: Reliably commute or planning to relocate before starting work (Preferred)Education:Bachelor's (Preferred)Work Location: One locationShow More  ",$100K ,$218K,-1,-1,Flipped.ai,"New York, NY",-1,-1,-1,-1,-1,-1
66,Data Scientist,"Capella is at the forefront of making vital information about our world accessible in a timely manner. We're leveraging proven technologies and building new capabilities to create a constellation of SAR satellites that can collect information about any spot on the planet within an hour.At Capella you'll workin a collaborative team environment, alongside smart people with a history of space mission success. No prior space experience is needed—we're looking for people excited about tackling seemingly impossible challenges, learning new skills and concepts, and helping each other achieve success.Our mission and our products are meant to understand the whole world and help everyone in it, regardless of race, creed, or any other distinction. We believe in a diverse and inclusive workplace, and we encourage all people to join our team and bring their unique perspective to help make us stronger.We value diversity at Capella and welcome applications from those who are traditionally underrepresented in tech. If you like the sound of this position, but are not sure if you are the perfect fit, please apply!

Responsibilities and Duties

Capella Space is building an industry transforming SAR data platform with the ability to request and receive high quality SAR imagery in a matter of minutes instead of weeks. We are looking for several Data Scientists at different career levels to join our exciting team.

As a Data Scientist, you will be working with the Product group that includes Data Science team in an agile environment to plan and achieve sprint goals. The Data Science Engineers build analytics products using the SAR and other satellite image data/information.

This role is remote, US based.

The Data Scientist will:

Research and develop machine learning/statistical learning models for SAR data analysis.
Collaborate with product management and engineering departments to understand company needs and devise possible solutions.
Keep up to date with latest technology trends.
Communicate results and ideas to key decision makers.
Implement new statistical or other mathematical methodologies as needed for specific models or analysis.

Requirements

Have a Master's or Ph.D. degree in Earth Science, Remote Sensing, Computer Science, Engineering, Software Engineering, Statistics or a relevant field.
Strong problem-solving skills with an emphasis on product development.
Knowledge of a variety of machine learning techniques, advanced statistical techniques, and concepts.
Familiarity with cloud-based workflows for satellite imagery.
Strong Python programming skills.
3+ years of experience with earth observation data.

Desired Qualifications:

AWS experience including AWS/S3/Lambda etc.
Familiarity with Machine Learning and Deep Learning on the cloud.
Experience working with CUDA and GPU computing.
Experience optimizing for and deploying in edge environments.

In addition to an opportunity to take part in an innovative and fast-growing business with a highly motivated and skilled team, we also take pride in taking care of our employees. Here are just a few ways that we show our appreciation:

Medical/Dental/Vision Insurance
Medical and Dependent Care Flex Spending
Short and Long Term Disability and Life Insurance
FSA and HSA
401(k) Plan
Flexible PTO
Gourmet-style, Daily Lunch
Capella Community Events
Equity Commuter and Parking benefits
Parental Leave
Dog-friendly Work Environment (SF)
Cell and Internet Monthly StipendShow More  ",-1,-1,-1,4.3,"Capella Space
4.3",California,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
67,Data Architect/Scientist,"adroitts is is seeking Data Architect/Scientist for a software development program for the Federal government. We are looking for a Data Architect/Scientist. For this role, you should know how to analyze system requirements and implement migration methods for existing data. Hands-on experience with migrating mission critical databases across multiple database platforms. Ultimately, you will develop database migration solutions to ensure client information is stored effectively and securely.Responsibilities include but are not limited to: · Lead architectural discussions and design exercises to build and automate large scale migration of data.· Architect, design and oversee the development of the database mapping and migration processes· Optimize new and current database systems· Ensures data integrity and security· Plan and design the processes for data migration to ensure data integrity and completeness and preserve security.· Recommend acceptance upon completion.The successful candidate will have: 14+ years of relevant experience performing duties outlined above with progressive responsibility.BS in Computer Science or equivalent fieldProven work experience as a Data Architect, Data Scientist, Data Migration specialist or similar roleIn-depth understanding of database migration principlesExperience with migration of mission critical databases across multiple database platformsKnowledge of data mining and segmentation techniquesExpertise in SQL and OracleFamiliarity with data visualization toolsProven analytical skillsProblem-solving attitudeWe are looking forward to hearing from you!Best,adroittsJob Types: Full-time, ContractPay: $130,000.00 - $150,000.00 per yearBenefits:Dental insuranceHealth insuranceLife insurancePaid time offVision insuranceSchedule:8 hour shiftExperience:Data migration: 10 years (Preferred)data architecture: 10 years (Preferred)Work Location: RemoteShow More  ",$130K ,$150K,-1,-1,adroitts,Remote,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
68,Data Scientist -- Full-time,"Data Scientist -- Full-time, entry levelAbout UsDenali System, a fast-growing start-up located in Silicon Valley, is committed to becoming the leading AIoT solution provider. We are dedicated to helping users break the barriers between technology, business, and data. Our goal is to help clients to discover the commercial value in the data.Denali has built a series of industry solutions based on our platform in finance, transportation, security, public service, etc., and has reached in-depth cooperation with many enterprises, including one of the fortune 500 insurance companies. We are looking for a passionate Data Scientist to join our team and build an influential startup company with us!Job DescriptionThis is a full-time position based in Mountain View, California. We are looking for an entry level Data Scientist with strong analytical and development skills to join our team. The candidate will be part of a growing team and have a chance to solve real world issues.Responsibilities: Formulating, suggesting, and managing data-driven projects which are geared at furthering the business's interests.Designing, training, evaluating machine learning models.Collaborate with team members and business partners to deliver high quality solutions and recommendations to a variety of problems across digital and merchBring data to life through storytelling in a clear and meaningful way to audiences with mixed levels of technical expertiseReconcile divergent demands from multiple stakeholders in a fast-paced work environment.Qualifications: Master’s degree in Data Science, Computer Science, Statistics or related.Experience as a Data Scientist, 1+ years’ professional experience in machine learning. Familiar with deep learning and mainstream methods1+ years applying business logic to extract and cleanse large datasets from structured and unstructured data sources1+ years of professional experience analyzing complex data, drawing conclusions, and making recommendations.Familiar with commonly used data analysis methods and very good understanding of statistics methods.Experience with support vector machinate (SVM), decision tree, regression analysis and recommendation modelsExpertise in SQL with proficiency in Python or R programming language and related analysis packages.Familiar with Linux OS.Solid written and spoken communication skills.Preferred but NOT required: Experience with precision marketing and related fieldsProven Experience in working with large scale data systemsFluent in Mandarin Chinese.Job Type: Full-timePay: Up to $150,000.00 per yearSchedule:Monday to FridayEducation:Master's (Preferred)Experience:Machine learning: 1 year (Preferred)Data science: 1 year (Preferred)Work Location:One locationWork Remotely:Temporarily due to COVID-19Work Location: One locationShow More  ",$150K ,$150K,-1,3.0,"Denali System Co., Ltd
3.0","Mountain View, CA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
69,data scientist -Remote,"Job Posting
: Dec 9, 2021
Job Posting End Date
: Jan 9, 2022
Location
: US-WA-Seattle-Starbucks Support Center
Starbucks - Business Strategy
Now Brewing – Data Scientists! #tobeapartner
From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and the rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others.
The data scientist will support growth at Starbucks by expanding the reach and scale of forecasting and measurement capabilities to support future planning and decision measurement. In this role, you’ll leverage statistical analysis, time series methods, machine learning, product development, data visualization, and storytelling. Day-to-day work will balance providing short-term analytical guidance and supporting long-term forecasting and measurement product development. You will also have the opportunity to collaborate and immerse with teams across Starbucks, including finance, demand planning, store development, marketing, and loyalty.
As a data scientist, you will…
Extract and transform data from multiple sources in preparation for exploratory data analysis, modeling, and reporting.
Leverage predictive and inferential advanced statistical and machine learning techniques to solve business problems, including methods to surface uncertainty intervals to provide increased context.
Transform model outputs into formats that are digestible to the end users through visualization, clear tables, and/or thoughtful presentations. Assist technical and non-technical end users in how to leverage and interpret the analysis.
Drive innovation by proposing and testing novel techniques and technologies to solve known problems and identify new business problems that can be addressed using data science products developed by the team.
We’d love to hear from people with:
Education: BS+ with concentration in quantitative discipline - Stats, Math, Comp Sci, Engineering, Econ, Quantitative Social Science or similar discipline
Minimum of 2+ years industry experience in data science
Strong background working with predictive and statistical modeling, machine learning and strong expertise in all phases of the modeling pipeline
Experience building complex data sets from multiple data sources, both internally and externally.
Strong SQL, databases and ETL skills required including cleaning and managing data.
Advanced competency and expertise in Python, R or some combination
Ability to apply knowledge of multidisciplinary business principles and practices to achieve successful outcomes in cross-functional projects and activities
Ability to educate others on statistical / machine learning methods
Self-starter, attention to details and results orientated, able to work under minimal guidance.
Proficient in communicating effectively with both technical and nontechnical stakeholders.
Retail and eCommerce experience preferred
Experience on Cloud platforms such as Azure, AWS, preferred
Experience working with distributed data processing frameworks such as Spark and Data bricks, and languages such as Java, PySpark or Scala, preferred

Starbucks and its brands are an equal opportunity employer of all qualified individuals.


We are committed to creating a diverse and welcoming workplace that includes partners with diverse backgrounds and experiences. We believe that enables us to better meet our mission and values while serving customers throughout our global communities. People of color, women, LGBTQIA+, veterans and persons with disabilities are encouraged to apply.


Qualified applicants with criminal histories will be considered for employment in a manner consistent with all federal state and local ordinances. Starbucks Corporation is committed to offering reasonable accommodations to job applicants with disabilities. If you need assistance or an accommodation due to a disability, please contact us at 206-318-0660 or via email at applicantaccommodation@starbucks.comApply Now: click Apply NowShow More  ",-1,-1,"$116,507 /yr (est.)",3.8,,"Seattle, WA",10000+ Employees,1971,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",-1
70,Data Analyst/Data Scientist,"Must Skills: Power BI and Web Analyst experience is mustBachelor's degree in information systems, data management, Management, business, or related field. Master's or other advanced degree preferred.Experience with data visualization tools (such as PowerBI, Tableau, or QlikView) is highly preferred.Minimum of five years of work experience in information technology, healthcare, business, or research is required.Experience and high technical proficiency in programming is required.Experience with other programming languages used in data science is valuable.Extensive experience in other programming languages may be considered.Extensive experience with extraction and manipulation of large, complex data sets is required.Extensive experience managing/preparing data sets for use in analysis, modeling, or business operations is required.Experience with Microsoft Office products (particularly Excel) is required.Experience with geo-mapping software (such as ArcGIS) is valuable.Other Work SkillsAdvanced problem-solving skills are required.The ability to use effective time management skills, including prioritization multiple tasks, is necessary for success.Attention to detail is critically important in this role.Ability to succeed in a fast-paced, ambiguous/fluid environment.A strong customer/stakeholder focus is expected at all times.Team player that displays professionalism at all times.Ability to work extra hours if required.Staff Management Skills.Job Type: Full-timeBenefits:Health insuranceSchedule:8 hour shiftExperience:Power BI: 5 years (Preferred)Work Location: RemoteShow More  ",-1,-1,"$116,507 /yr (est.)",-1,Knacks Star LLC,Remote,-1,-1,-1,-1,-1,-1
71,Data Scientist,"Company Description
Robert Bosch is a world-class engineering and manufacturing company. Our products impact hundreds of millions of people every day, many in safety critical systems. Artificial intelligence is impacting Bosch’s products and services in many domains, including: manufacturing, autonomous driving, predictive maintenance, vehicle diagnostics and supply chain & logistics. The Bosch Center for Artificial Intelligence provides AI technologies to Bosch’s business units and plants. We are a global team of data scientists, engineers and research scientists focused on applying state-of-the-art AI models to improve all aspects of Bosch’s products and operations.

Job Description
This is a technical position for someone who is skilled at bringing together disparate technologies to solve business problems.
Primary Responsibilities:
Design and implement internal data products that have a significant impact on Bosch global business.
Share knowledge by clearly articulating results and ideas to customers, managers, and key decision makers.
Select and apply appropriate statistical, machine learning, and computing methods to large-scale, high-dimensional data
Write clear, maintainable and tested code
Stay current with the latest research and technology and communicate your knowledge throughout the enterprise
Take responsibility for preparing data for analysis, and provide critical feedback on issues of data integrity
Contribute to Bosch's patent portfolio
Up to 10% travel may be required.

Qualifications
Basic Qualifications:
Ph.D. (or M.S with 2+ years experience) in Computer Science, Statistics, or related quantitative technical fields
2+ yrs experience in applying machine learning and other analytic methods to solve practical business problems
Experience in machine learning algorithms & underlying mathematical/statistical principles
Programming Experience in Python and/or R, including common data science libraries (e.g. scikit-learn, pandas, numpy)
Experience in software engineering best practices and able to write code for production systems
Preferred Qualifications:
Hands-on experience with neural networks and deep learning methods
Experience working with big data and associated distributed processing tools (e.g. Spark)
Experience deploying machine learning models in production systems
Excellent communication and documentation skills
Additional Information
BOSCH is a proud supporter of STEM (Science, Technology, Engineering & Mathematics) Initiatives
FIRST Robotics (For Inspiration and Recognition of Science and Technology)
AWIM (A World In Motion)
By choice, we are committed to a diverse workforce – EOE/Protected Veteran/Disabled.Apply Now: click Easy ApplyShow More  ",-1,-1,"$120,914 /yr (est.)",3.8,,"Sunnyvale, CA",10000+ Employees,1886,Company - Private,Miscellaneous Manufacturing,Manufacturing,-1
72,Lead Data Scientist,"Pluribus Digital is looking for a talented Data Scientist to lead analytical solutions for important public service missions! This is a great opportunity to apply a breadth and depth of data science and analytics knowledge to missions that impact the lives of millions. You’ll also provide thought leadership and support for shaping our data science practice and offerings across the company, with a growth path to practice leadership.Day-to-DayYou’ll lead data efforts for major public sector programs. You can de-tangle the buzzword soup (Data Science, AI, ML, NLP) and collaborate with business and technical stakeholders to drive solutions that have a real impact.Deeply understand customer mission and business processes and data landscape in order to provide strategic advice, driving data analytics and modeling effort to support those public service mission.Define approaches to explore opportunities for data science, then guide work of team members in validating and implementing analytical modeling approaches.Design solutions to integrate data science into enterprise systems and workflows using modern cloud platforms and open source tools and frameworks.Define key mission outcome metrics, and measure impact of data science efforts in improving mission outcomes.Provide technical leadership with senior client technical and business stakeholders, ensuring solutions are compliant and aligned to architectural standards/principles and industry leading practice.Develop strategies and approaches to guard against bias in models and analysis to ensure solutions do not result in unintended impacts to vulnerable populations.Guide modern delivery practices among teams, and support team members’ professional growth.Minimum RequirementsTo be set up for success, you bring strength in the following:Bachelor’s degree in Computer Science, Engineering, Statistics (or related field) or an equivalent combination of education and/or experience10+ years of data science experience on similar scale (mult-team) productsExperience with relevant open source and cloud tools such as Python, R, Jupyter, pandas, TensorFlow, and various AWS data services (or equivalent tools)Experience with analyzing, designing, building, testing, implementing and supporting ETL solutions for multiple subject areas sourced from disparate data sourcesAbility to obtain and maintain a public trust clearanceDesired QualificationsIt is a bonus if you bring some of the following:Familiarity with human-centered design and product management approaches and methodsExperience fostering an inclusive environment and managing highly diverse teamsExperience managing fully remote and distributed teamsBusiness development experienceFamiliar with the approaches outlined in the Digital Services Playbook (at playbook.cio.gov)Relevant management certificationsJob Type: Full-timePay: $100,000.00 - $185,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceFlexible spending accountHealth insuranceHealth savings accountLife insurancePaid time offParental leaveProfessional development assistanceVision insuranceSchedule:8 hour shiftSupplemental Pay:Bonus payEducation:Bachelor's (Preferred)Experience:Data science: 10 years (Preferred)Work Location: RemoteShow More  ",$100K ,$185K,-1,4.9,"Pluribus Digital
4.9",Remote,51 to 200 Employees,1995,Company - Private,IT Services,Information Technology,-1
73,Data Scientist - Decisions,"Overview:

Crisis Text Line provides free, 24/7, high-quality text-based mental health support and crisis intervention by empowering a community of trained volunteers to support people in their moments of need. Our mission is at the intersection of empathy and innovation — we promote mental well-being for people wherever they are. Our vision is an empathetic world where nobody feels alone. Our core values are connected with empathy, center equity, get it done together, and reflect and evolve, these four are at the heart of all we do.
Our mission: At the intersection of empathy and innovation — we promote mental well-being for people wherever they are.

Our vision: an empathetic world where nobody feels alone

Our values: connect with empathy, center equity, get it done together, and reflect and evolve

Role

As a Data Scientist, you will partner closely with a cross-disciplinary group of staff, including a mix of engineering, product, data, coaching, and clinical staff, to collect, analyze, and share evidence that will inform critical business operations decisions and organizational storytelling. In particular, you'll work on 6 high-level stages that will help move your stakeholder groups toward evidence-informed actions: data collection, availability, methodology of analysis, access, analysis, and interpretation. Through this work, you'll help to create a culture of evidence-based decision-making that will increase our organization's impact on our mission of supporting people in crisis.

Responsibilities

In partnership with stakeholders, identify and implement new metrics and improve old metrics to reveal or monitor organizational challenges or opportunities;

 Develop and maintain dashboards and other visualizations that track performance metrics and show where we can improve our service;

Use a mix of research methods, including regression analysis, survey design, qualitative research, literature reviews, and A/B testing to generate evidence and insights;

Be a strategic partner and work with stakeholders to connect analysis to key decisions that affect the organization. Our team's output is analysis, but our outcome is impact;

Evaluate new products and programs alongside stakeholders (eg, a new volunteer communication strategy);

Clarify what conclusions the team can draw from what may be imperfect data, and maximize team learnings;

Provide peer-reviews that ensure we are producing valid, reliable, and interpretable analyses;

Consider ethics, equity, security, privacy, and confidentiality, in all work;

Spread knowledge, provide mentorship, and promote research best practices;

Learn from your colleagues, stretch yourself, and grow as a scientist and teammate;

Manage your time successfully by focusing on priorities, and delivering on deadlines.

Qualifications

 2+ years of relevant experience

Proficiency in SQL and experience with at least one of the following statistical tools:

Python, R, SPSS, STATA, or SAS

Experience using mixed research methodologies, including two or more of the following:

survey design, qualitative research, A/B testing, statistical methods, machine learning.

Experience building charts in visualization tools like Sisense, Looker, and/or Tableau.

Understanding of essential scientific and research principles and how to apply them, e.g.,

the scientific method and hypothesis testing, forms of research bias, experimental design, types of variables, privacy and confidentiality, ethical research.

Benefits:
20 paid holidays, including 3 floating holidays
Generous paid time off: 15 vacation days, 3 personal days, 7 sick days
Medical, dental, and vision benefits for the staff member and family
403B retirement plan (the nonprofit equivalent of a 401K): 3% contribution by Crisis Text Line
12 weeks paid parental leave (available after 6 months of employment)
4 weeks of volunteer sabbatical (after 2 years of continuous full time service)
Mental health stipend
Wellness stipend
Internet service stipend
Home office setup stipend
(Benefits do not apply to interns, contractors, research collaborators, and part-time positions)
Crisis Text Line is an equal opportunity employer. We provide reasonable accommodation to individuals who have a disability and meet the skill, experience, education, and other job-related requirements of the role to allow the individual to perform the essential functions of the job.Show More  ",-1,-1,-1,4.1,"Crisis Text Line
4.1",New York State,51 to 200 Employees,2013,Nonprofit Organization,Health Fundraising Organizations,Non-Profit,-1
